KCs,student,problem,step,outcome,fold
Nested_Loops,2515,jNested1,576,correct,1
Nested_Loops,2515,jNested2,577,correct,1
Nested_Loops,2515,jNested3,578,correct,1
Nested_Loops,2520,jNested1,787,correct,1
Nested_Loops,2520,jNested2,788,incorrect,1
Nested_Loops,2520,jNested3,805,incorrect,1
Nested_Loops,2522,jNested1,1222,correct,1
Nested_Loops,2522,jNested2,1227,incorrect,1
Nested_Loops,2522,jNested3,1236,incorrect,1
Nested_Loops,2528,jNested1,1481,incorrect,1
Nested_Loops,2528,jNested2,1484,incorrect,1
Nested_Loops,2606,jNested1,1990,correct,1
Nested_Loops,2606,jNested2,1991,incorrect,1
Nested_Loops,2641,jNested1,2892,correct,1
Nested_Loops,2641,jNested2,2896,incorrect,1
Nested_Loops,2641,jNested3,2909,incorrect,1
Nested_Loops,2642,jNested1,3150,correct,1
Nested_Loops,2642,jNested2,3151,incorrect,1
Nested_Loops,2642,jNested3,3158,incorrect,1
Nested_Loops,2647,jNested1,3709,correct,1
Nested_Loops,2648,jNested1,3996,correct,1
Nested_Loops,2648,jNested2,3997,incorrect,1
Nested_Loops,2648,jNested3,4002,incorrect,1
Nested_Loops,2649,jNested1,4180,correct,1
Nested_Loops,2650,jNested1,4371,correct,1
Nested_Loops,2652,jNested1,4519,correct,1
Nested_Loops,2652,jNested2,4523,incorrect,1
Nested_Loops,2652,jNested3,4529,incorrect,1
Nested_Loops,2653,jNested1,4791,correct,1
Nested_Loops,2653,jNested2,4792,correct,1
Nested_Loops,2653,jNested3,4797,incorrect,1
Nested_Loops,2655,jNested1,4929,incorrect,1
Nested_Loops,2655,jNested2,4931,incorrect,1
Nested_Loops,2655,jNested3,4937,incorrect,1
Nested_Loops,2664,jNested1,5524,incorrect,1
Nested_Loops,2664,jNested2,5528,incorrect,1
Nested_Loops,2664,jNested3,5536,incorrect,1
Nested_Loops,2665,jNested1,5768,correct,1
Nested_Loops,2665,jNested2,5769,incorrect,1
Nested_Loops,2666,jNested1,5821,correct,1
Nested_Loops,2666,jNested2,5822,incorrect,1
Nested_Loops,2667,jNested1,6045,correct,1
Nested_Loops,2668,jNested1,6333,correct,1
Nested_Loops,2668,jNested2,6339,incorrect,1
Nested_Loops,2668,jNested3,6346,incorrect,1
Nested_Loops,2669,jNested1,6736,correct,1
Nested_Loops,2669,jNested2,6737,correct,1
Nested_Loops,2671,jNested1,6949,correct,1
Nested_Loops,2671,jNested3,6952,incorrect,1
Nested_Loops,2674,jNested1,7321,correct,1
Nested_Loops,2674,jNested2,7324,incorrect,1
Nested_Loops,2674,jNested3,7330,incorrect,1
Nested_Loops,2675,jNested1,7635,incorrect,1
Nested_Loops,2676,jNested1,7733,incorrect,1
Nested_Loops,2676,jNested2,7735,correct,1
Nested_Loops,2676,jNested3,7736,correct,1
Nested_Loops,2759,jNested1,7849,correct,1
Nested_Loops,2759,jNested2,7850,incorrect,1
Nested_Loops,2759,jNested3,7852,incorrect,1
Nested_Loops,2761,jNested1,8213,correct,1
Nested_Loops,2761,jNested2,8214,incorrect,1
Nested_Loops,2763,jNested1,8621,correct,1
Nested_Loops,2765,jNested1,8947,correct,1
Nested_Loops,2765,jNested2,8950,incorrect,1
Nested_Loops,2765,jNested3,8959,incorrect,1
Nested_Loops,2766,jNested1,9266,correct,1
Nested_Loops,2766,jNested2,9267,correct,1
Nested_Loops,2772,jNested1,9691,incorrect,1
Nested_Loops,2772,jNested2,9694,incorrect,1
Nested_Loops,2772,jNested3,9702,incorrect,1
Nested_Loops,2773,jNested1,9980,incorrect,1
Nested_Loops,2773,jNested2,9982,incorrect,1
Nested_Loops,2773,jNested3,9986,incorrect,1
Nested_Loops,2774,jNested1,10198,correct,1
Nested_Loops,2774,jNested2,10199,correct,1
Nested_Loops,2774,jNested3,10200,incorrect,1
Nested_Loops,2777,jNested1,10360,correct,1
Nested_Loops,2777,jNested2,10365,incorrect,1
Nested_Loops,2777,jNested3,10370,incorrect,1
Nested_Loops,2780,jNested1,11056,correct,1
Nested_Loops,2780,jNested2,11058,incorrect,1
Nested_Loops,2780,jNested3,11066,incorrect,1
Nested_Loops,2785,jNested1,11769,correct,1
Nested_Loops,2785,jNested2,11771,incorrect,1
Nested_Loops,2785,jNested3,11775,correct,1
Nested_Loops,2787,jNested1,12071,incorrect,1
Nested_Loops,2787,jNested2,12073,correct,1
Nested_Loops,2791,jNested1,12575,correct,1
Nested_Loops,2791,jNested2,12578,correct,1
Nested_Loops,2791,jNested3,12587,incorrect,1
Nested_Loops,2792,jNested1,12832,incorrect,1
Nested_Loops,2792,jNested2,12835,incorrect,1
Nested_Loops,2805,jNested1,13971,correct,1
Nested_Loops,2805,jNested2,13972,incorrect,1
Nested_Loops,2805,jNested3,13977,correct,1
Nested_Loops,2806,jNested1,14358,correct,1
Nested_Loops,2806,jNested2,14361,incorrect,1
Nested_Loops,2806,jNested3,14370,incorrect,1
Nested_Loops,2807,jNested1,14804,correct,1
Nested_Loops,2807,jNested2,14805,incorrect,1
Nested_Loops,2808,jNested1,14822,correct,1
Nested_Loops,2808,jNested2,14823,incorrect,1
Nested_Loops,2808,jNested3,14826,incorrect,1
Nested_Loops,2812,jNested1,15488,correct,1
Nested_Loops,2812,jNested2,15489,incorrect,1
Nested_Loops,2986,jNested1,15756,correct,1
Nested_Loops,2986,jNested2,15757,incorrect,1
Nested_Loops,2989,jNested1,16159,correct,1
Nested_Loops,2989,jNested2,16167,incorrect,1
Nested_Loops,2989,jNested3,16185,incorrect,1
Nested_Loops,2991,jNested1,16585,correct,1
Nested_Loops,2991,jNested2,16592,incorrect,1
Nested_Loops,2991,jNested3,16600,incorrect,1
Nested_Loops,2992,jNested1,17033,correct,1
Nested_Loops,2992,jNested2,17034,incorrect,1
Nested_Loops,2996,jNested1,17266,correct,1
Nested_Loops,2996,jNested2,17268,incorrect,1
Nested_Loops,2996,jNested3,17270,incorrect,1
Nested_Loops,2997,jNested1,17680,incorrect,1
Nested_Loops,2997,jNested2,17684,incorrect,1
Nested_Loops,2997,jNested3,17698,incorrect,1
Nested_Loops,2999,jNested1,17924,correct,1
Nested_Loops,2999,jNested2,17926,incorrect,1
Nested_Loops,3000,jNested1,18071,correct,1
Nested_Loops,3000,jNested2,18072,incorrect,1
Nested_Loops,3003,jNested1,18374,correct,1
Nested_Loops,3003,jNested2,18375,incorrect,1
Nested_Loops,3006,jNested1,18476,correct,1
Nested_Loops,3006,jNested2,18477,incorrect,1
Nested_Loops,3007,jNested1,18924,incorrect,1
Nested_Loops,3007,jNested2,18930,incorrect,1
Nested_Loops,3011,jNested1,19372,correct,1
Nested_Loops,3011,jNested2,19375,incorrect,1
Nested_Loops,3012,jNested1,19533,correct,1
Nested_Loops,3012,jNested2,19534,incorrect,1
