student	problem	step	outcome	fold	KCs
2647	jVariables1	3540	correct	1	Variables
2647	jVariables2	3542	correct	1	Variables
2647	jVariables3	3544	correct	1	Variables
2647	jVariables4	3546	incorrect	1	Variables
2647	jVariables5	3550	correct	1	Variables
2647	jVariables4	3547	correct	1	Variables
2647	jVariables1	3541	correct	1	Variables
2647	jVariables2	3543	correct	1	Variables
2647	jVariables3	3545	correct	1	Variables
2647	jVariables4	3548	incorrect	1	Variables
2647	jVariables4	3549	correct	1	Variables
2647	jVariables5	3551	correct	1	Variables
2647	jObjects1	3554	incorrect	1	Objects
2647	jObjects1	3555	correct	1	Objects
2647	jObjects2	3557	correct	1	Objects
2647	jObjects3	3561	incorrect	1	Objects
2647	jObjects3	3562	correct	1	Objects
2647	jObjects4	3565	correct	1	Objects
2647	jObjects5	3568	correct	1	Objects
2646	jObjects1	3528	incorrect	1	Objects
2646	jObjects1	3529	incorrect	1	Objects
2646	jObjects1	3530	correct	1	Objects
2646	jObjects2	3531	incorrect	1	Objects
2646	jObjects2	3532	correct	1	Objects
2646	jObjects3	3533	correct	1	Objects
2646	jObjects4	3534	incorrect	1	Objects
2646	jObjects4	3535	correct	1	Objects
2646	jObjects5	3536	correct	1	Objects
2534	jInterfaces1	1547	incorrect	1	Interfaces
2534	jInterfaces1	1548	incorrect	1	Interfaces
2534	jInterfaces1	1549	incorrect	1	Interfaces
2534	jInterfaces1	1550	incorrect	1	Interfaces
2534	jInterfaces1	1551	incorrect	1	Interfaces
2534	jInterfaces1	1552	incorrect	1	Interfaces
2534	jInterfaces1	1553	incorrect	1	Interfaces
2534	jInterfaces1	1554	incorrect	1	Interfaces
2534	jInterfaces1	1555	incorrect	1	Interfaces
2534	jInterfaces1	1556	incorrect	1	Interfaces
2534	jInterfaces2	1557	incorrect	1	Interfaces
2534	jInterfaces2	1558	incorrect	1	Interfaces
2534	jInterfaces2	1559	incorrect	1	Interfaces
2534	jInterfaces2	1560	incorrect	1	Interfaces
2534	jInterfaces2	1561	incorrect	1	Interfaces
2534	jInterfaces2	1562	correct	1	Interfaces
2534	jInterfaces3	1563	incorrect	1	Interfaces
2534	jInterfaces3	1564	correct	1	Interfaces
2534	jInterfaces3	1565	correct	1	Interfaces
2534	jInterfaces4	1566	incorrect	1	Interfaces
2534	jInterfaces4	1567	incorrect	1	Interfaces
2534	jInterfaces4	1568	correct	1	Interfaces
2534	jInterfaces5	1569	incorrect	1	Interfaces
2534	jInterfaces5	1570	incorrect	1	Interfaces
2534	jInterfaces5	1571	correct	1	Interfaces
2534	jInterfaces5	1572	incorrect	1	Interfaces
2534	jInterfaces5	1573	correct	1	Interfaces
