student	outcome	fold	KC	features_jArrayList1	features_jArrayList2	features_jArrayList3	features_jArrayList4	features_jArrayList5	features_jIncrement	features_jMathFuc1	features_jMathFuc2	features_jOperator1	features_jVariable1	features_jVariables1	features_jVariables2	features_jVariables3	features_jVariables4	features_jVariables5
2236	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	0	0	0
2236	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0
2236	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	0	0	0
2236	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	1	0
2236	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1
2812	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	0	0	0
2812	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	0	0	0
2812	correct	1	Variables	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0
2252	correct	1	Arithmetic_Operations	NULL	NULL	NULL	NULL	NULL	1	0	0	0	0	NULL	NULL	NULL	NULL	NULL
2252	correct	1	Arithmetic_Operations	NULL	NULL	NULL	NULL	NULL	0	0	0	1	0	NULL	NULL	NULL	NULL	NULL
2252	correct	1	Arithmetic_Operations	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL
2528	correct	1	ArrayList	1	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2528	correct	1	ArrayList	0	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2528	incorrect	1	ArrayList	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2522	correct	1	ArrayList	1	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2522	correct	1	ArrayList	0	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2522	incorrect	1	ArrayList	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2522	correct	1	ArrayList	0	0	0	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2522	correct	1	ArrayList	0	0	0	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
