student	outcome	KC
2647	correct	Variables
2647	correct	Variables
2647	correct	Variables
2647	incorrect	Variables
2647	correct	Variables
2647	correct	Variables
2647	correct	Variables
2647	correct	Variables
2647	correct	Variables
2647	incorrect	Variables
2647	correct	Variables
2647	correct	Variables
2647	incorrect	Objects
2647	correct	Objects
2647	correct	Objects
2647	incorrect	Objects
2647	correct	Objects
2647	correct	Objects
2647	correct	Objects
2646	incorrect	Objects
2646	incorrect	Objects
2646	correct	Objects
2646	incorrect	Objects
2646	correct	Objects
2646	correct	Objects
2646	incorrect	Objects
2646	correct	Objects
2646	correct	Objects
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	correct	Interfaces
2534	incorrect	Interfaces
2534	correct	Interfaces
2534	correct	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	correct	Interfaces
2534	incorrect	Interfaces
2534	incorrect	Interfaces
2534	correct	Interfaces
2534	incorrect	Interfaces
2534	correct	Interfaces
